Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_33_55,VGND,li1,28.2900,95.2000,0.000000
FILLER_0_33_52,VGND,li1,27.3700,95.2000,0.000000
FILLER_0_33_46,VGND,li1,24.6100,95.2000,0.000000
FILLER_0_33_43,VGND,li1,23.2300,95.2000,0.000000
FILLER_0_33_39,VGND,li1,20.9300,95.2000,0.000000
FILLER_0_33_27,VGND,li1,15.4100,95.2000,0.000000
FILLER_0_33_24,VGND,li1,14.4900,95.2000,0.000000
FILLER_0_33_21,VGND,li1,13.1100,95.2000,0.000000
FILLER_0_33_18,VGND,li1,11.7300,95.2000,0.000000
FILLER_0_33_15,VGND,li1,10.3500,95.2000,0.000000
FILLER_0_33_12,VGND,li1,8.9700,95.2000,0.000000
FILLER_0_33_9,VGND,li1,7.5900,95.2000,0.000000
FILLER_0_33_6,VGND,li1,6.2100,95.2000,0.000000
FILLER_0_33_3,VGND,li1,4.8300,95.2000,0.000000
FILLER_0_32_334,VGND,li1,156.6300,89.7600,0.000001
FILLER_0_32_306,VGND,li1,143.9800,89.7600,0.000000
FILLER_0_32_250,VGND,li1,118.2200,89.7600,0.000000
FILLER_0_32_220,VGND,li1,104.1900,89.7600,0.000000
FILLER_0_32_197,VGND,li1,93.8400,89.7600,0.000000
FILLER_0_32_194,VGND,li1,92.4600,89.7600,0.000000
FILLER_0_32_191,VGND,li1,91.3100,89.7600,0.000000
FILLER_0_32_188,VGND,li1,89.9300,89.7600,0.000000
FILLER_0_32_185,VGND,li1,88.5500,89.7600,0.000000
FILLER_0_32_176,VGND,li1,84.4100,89.7600,0.000000
FILLER_0_32_151,VGND,li1,72.6800,89.7600,0.000000
FILLER_0_32_144,VGND,li1,69.2300,89.7600,0.000000
FILLER_0_32_133,VGND,li1,64.6300,89.7600,0.000000
FILLER_0_32_130,VGND,li1,63.2500,89.7600,0.000000
FILLER_0_32_127,VGND,li1,61.8700,89.7600,0.000000
FILLER_0_32_124,VGND,li1,60.4900,89.7600,0.000000
FILLER_0_32_111,VGND,li1,54.5100,89.7600,0.000000
FILLER_0_32_96,VGND,li1,47.6100,89.7600,0.000000
FILLER_0_32_93,VGND,li1,46.2300,89.7600,0.000000
FILLER_0_32_85,VGND,li1,42.3200,89.7600,0.000000
FILLER_0_32_81,VGND,li1,40.7100,89.7600,0.000000
FILLER_0_32_78,VGND,li1,39.3300,89.7600,0.000000
FILLER_0_32_54,VGND,li1,27.8300,89.7600,0.000000
FILLER_0_32_51,VGND,li1,26.9100,89.7600,0.000000
FILLER_0_32_48,VGND,li1,25.5300,89.7600,0.000000
FILLER_0_32_45,VGND,li1,24.1500,89.7600,0.000000
FILLER_0_32_42,VGND,li1,22.7700,89.7600,0.000000
FILLER_0_32_39,VGND,li1,21.3900,89.7600,0.000000
FILLER_0_32_36,VGND,li1,20.0100,89.7600,0.000000
FILLER_0_32_33,VGND,li1,18.6300,89.7600,0.000000
FILLER_0_32_25,VGND,li1,14.9500,89.7600,0.000000
FILLER_0_32_17,VGND,li1,11.2700,89.7600,0.000000
FILLER_0_32_9,VGND,li1,7.3600,89.7600,0.000000
FILLER_0_32_6,VGND,li1,6.2100,89.7600,0.000000
FILLER_0_32_3,VGND,li1,4.8300,89.7600,0.000000
FILLER_0_31_333,VGND,li1,156.4000,89.7600,0.000001
FILLER_0_31_208,VGND,li1,99.1300,89.7600,0.000000
FILLER_0_31_205,VGND,li1,97.7500,89.7600,0.000000
FILLER_0_31_202,VGND,li1,96.3700,89.7600,0.000000
FILLER_0_31_199,VGND,li1,94.9900,89.7600,0.000000
FILLER_0_31_178,VGND,li1,84.8700,89.7600,0.000000
FILLER_0_31_175,VGND,li1,83.9500,89.7600,0.000000
FILLER_0_31_172,VGND,li1,82.5700,89.7600,0.000000
FILLER_0_31_169,VGND,li1,81.1900,89.7600,0.000000
FILLER_0_31_167,VGND,li1,79.8100,89.7600,0.000000
FILLER_0_31_158,VGND,li1,75.9000,89.7600,0.000000
FILLER_0_31_155,VGND,li1,74.7500,89.7600,0.000000
FILLER_0_31_152,VGND,li1,73.3700,89.7600,0.000000
FILLER_0_31_129,VGND,li1,62.3300,89.7600,0.000000
FILLER_0_31_126,VGND,li1,61.4100,89.7600,0.000000
FILLER_0_31_119,VGND,li1,57.7300,89.7600,0.000000
FILLER_0_31_116,VGND,li1,56.8100,89.7600,0.000000
FILLER_0_31_113,VGND,li1,55.4300,89.7600,0.000000
FILLER_0_31_111,VGND,li1,54.0500,89.7600,0.000000
FILLER_0_31_75,VGND,li1,37.7200,89.7600,0.000000
FILLER_0_31_64,VGND,li1,32.8900,89.7600,0.000000
FILLER_0_31_54,VGND,li1,28.0600,89.7600,0.000000
FILLER_0_31_51,VGND,li1,26.9100,89.7600,0.000000
FILLER_0_31_34,VGND,li1,18.8600,89.7600,0.000000
FILLER_0_31_6,VGND,li1,5.9800,89.7600,0.000000
